gene,drug,synonyms,chembl_id,action,max_phase,is_withdrawn,source_url
EGFR,PANITUMUMAB,"['L01xc08', 'Panitumumab', 'ABX-EGF', 'Abenix', 'E7.6.3', 'Vectibix']",CHEMBL1201827,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201827/
EGFR,CETUXIMAB,"['Erbitux', 'IMC-C225', 'C-225', 'Cetuximab', 'Cetuximab biosimilar (abp-494)', 'CMAB009', 'MOAB C225', 'ABP-494', 'C225', 'IMC-225', 'Cetuximab (genetical recombination)', 'CMAB-009']",CHEMBL1201577,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201577/
EGFR,ERLOTINIB HYDROCHLORIDE,"['CP-358', 'Erlotinib hydrochloride', 'OSI-774', 'CP-358,774-01', 'Erlotinib hcl', 'Tarceva', 'CP-358774-01']",CHEMBL1079742,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1079742/
EGFR,GEFITINIB,"['NSC-759856', 'Gefitinib mylan', 'Iressa', 'Gefitinib', 'ZD1839', 'ZD-1839']",CHEMBL939,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL939/
EGFR,LAPATINIB DITOSYLATE,"['Lapatinib ditoluenesulfonate monohydrate', 'Lapatinib ditosylate monohydrate', 'GW-572016F', 'Lapatinib tosilate hydrate', 'Tycerb', 'Lapatinib ditosylate', 'Lapatinib tosilate', 'GW572016F', 'Tyverb', 'Lapatinib ditosylate anhydrous', 'Tykerb']",CHEMBL1201179,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201179/
EGFR,AFATINIB DIMALEATE,"['Afatinib maleate', 'Gilotrif', 'BIBW-2992MA2', 'BIBW2992 MA2', 'BIBW2992-MA2', 'Giotrif', 'BIBW-2992-MA2', 'Afatinib dimaleate', 'BIBW-2992 MA2']",CHEMBL2105712,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2105712/
EGFR,OSIMERTINIB MESYLATE,"['Mereletinib mesilate', 'AZD9291 mesylate', 'Osimertinib mesilate', 'Osimertinib mesylate', 'AZD-9291 MESYLATE', 'Tagrisso', 'Mereletinib mesylate']",CHEMBL3545063,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545063/
EGFR,NECITUMUMAB,"['11F8', 'Necitumumab', 'IMC-11F8', 'Portrazza']",CHEMBL1743047,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1743047/
EGFR,AC-480,"['BMS-599626', 'Bms 599626', 'AC480', 'Ac-480', 'AC-480']",CHEMBL1645462,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1645462/
EGFR,ALLITINIB,"['Allitinib', 'Ast1306', 'Als 1306', 'Ast-1306', 'ALL-3', 'Ast 1306']",CHEMBL1947204,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1947204/
EGFR,AZD-4769,"['Azd 4769', 'AZ-12096971', 'L674573', 'AZD4769', 'L-674573', 'Azd-4769']",CHEMBL422872,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL422872/
EGFR,FALNIDAMOL,"['Bibx1382', 'BIBX-1382', 'Falnidamol', 'Bibx-1382', 'Bibx 1382', 'BIBX 1382']",CHEMBL258940,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL258940/
EGFR,CEP-32496,"['Rxdx 105', 'CEP-32496', 'AC-013773', 'AB-024', 'Cep-32496', 'RXDX-105', 'Agerafenib']",CHEMBL2029988,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2029988/
EGFR,CUDC-101,"['Cudc-101', 'Cudc 101']",CHEMBL598797,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL598797/
EGFR,OLMUTINIB,"['Hm-61713', 'HM-61713', 'BI-1482694', 'Olmutinib', 'HM61713', 'BI 1482694']",CHEMBL3786343,INHIBITOR,4.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3786343/
EGFR,THELIATINIB,"['Theliatinib', 'Xiliertinib', 'Hmpl-309', 'HMPL-309']",CHEMBL5314410,INHIBITOR,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5314410/
EGFR,EPITINIB,"['Hmpl-813', 'HMPL-813', 'Epitinib']",CHEMBL5314411,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL5314411/
EGFR,JNJ-26483327,"['Jnj-26483327', 'JNJ 26483327', 'JNJ-26483327']",CHEMBL3109738,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3109738/
EGFR,AV-412,"['Av-412', 'Mp 412', 'Mp-412', 'MP-412 DITOSYLATE']",CHEMBL6067986,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL6067986/
EGFR,PD-0166285 HYDROCHLORIDE,"['Pd-0166285 hydrochloride', 'Pd-0166285 dihydrochloride']",CHEMBL3545196,INHIBITOR,1.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545196/
TP53,CONTUSUGENE LADENOVEC,"['AD5CMV-P53', 'INGN-201', 'Advexin', 'INGN 201', 'Contusugen ladenovec', 'Contusugene ladenovec']",CHEMBL2108585,EXOGENOUS GENE,2.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108585/
TP53,EPRENETAPOPT,"['APR-246', 'Apr 246', 'Apr-246', 'Eprenetapopt', 'PRIMA-1Met']",CHEMBL3186011,STABILISER,3.0,False,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3186011/
