nct_id,title,gene,drugs,condition,status,phase,source_url
NCT05821088,Tafasitamab and Lenalidomide Followed by Tafasitamab and ICE as Salvage Therapy for Transplant Eligible Patients With Relapsed/ Refractory Large B-Cell Lymphoma,MYC,"Carboplatin, Etoposide, Ifosfamide, Lenalidomide","Recurrent B-Cell Lymphoma, Unclassifiable, With Features Intermediate Between Diffuse Large B-Cell Lymphoma and Classic Hodgkin Lymphoma",RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05821088
NCT03136146,"Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia, Lymphoblastic Lymphoma, Burkitt Lymphoma/Leukemia, or Double-Hit Lymphoma/Leukemia",MYC,"Bortezomib, Clofarabine, Cyclophosphamide, Dexamethasone, Etoposide, Vincristine Sulfate Liposome",Recurrent Acute Lymphoblastic Leukemia,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT03136146
NCT02727803,Personalized NK Cell Therapy in CBT,MYC,"Busulfan, Clofarabine, Cyclophosphamide, Fludarabine Phosphate, Melphalan","Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT02727803
NCT03418038,"Ascorbic Acid and Chemotherapy for the Treatment of Relapsed or Refractory Lymphoma, CCUS, and Chronic Myelomonocytic Leukemia",MYC,"Carboplatin, Cisplatin, Cytarabine, Dexamethasone, Etoposide, Gemcitabine Hydrochloride, Ifosfamide, Oxaliplatin, Decitabine",Clonal Cytopenia of Undetermined Significance,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT03418038
NCT07137416,Testing the Safety of the Combination of Anti-Cancer Drugs CX-5461 (Pidnarulex) and Trastuzumab Deruxtecan (T-DXd) for Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Solid Tumors and Breast Cancer,EGFR,Pidnarulex,Anatomic Stage III Breast Cancer AJCC v8,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07137416
NCT06257264,A Study to Examine the Safety of Different Doses of BG-68501 Given to Participants With Advanced-Stage Tumors,EGFR,"BG-68501, Fulvestrant, BGB-43395",Breast Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06257264
NCT04486833,Quaratusugene Ozeplasmid (Reqorsa) and Osimertinib in Patients With Advanced Lung Cancer Who Progressed on Osimertinib,EGFR,"osimertinib, Platinum-Based Chemotherapy","Carcinoma, Non-Small Cell Lung",RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT04486833
NCT04324164,Survival Outcome of EGFR-TKI in Uncommon EGFR Mutant Advanced NSCLC,EGFR,"Third-generation EGFR-TKI, EGFR-TKI",Non-small Cell Lung Cancer,RECRUITING,N/A,https://clinicaltrials.gov/study/NCT04324164
NCT05735080,"Open-Label Study to Evaluate the Safety, Tolerability, PK, and Efficacy of INX-315 in Patients With Advanced Cancer",CCNE1,"INX-315, Fulvestrant, Abemaciclib",Breast Cancer,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT05735080
NCT07023627,A Study of INCB123667 in Participants With Platinum-Resistant Ovarian Cancer With Cyclin E1 Overexpression,CCNE1,INCB123667,Ovarian Cancer,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07023627
NCT06586957,A Study With NKT3964 for Adults With Advanced/Metastatic Solid Tumors,CCNE1,NKT3964,Solid Tumor,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06586957
NCT07029399,A Study With NKT5097 for Adults With Advanced/Metastatic Solid Tumors,CCNE1,NKT5097 CDK2/CDK4 dual degrader,HR+ Breast Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07029399
NCT04840589,Testing the Combination of ZEN003694 and Nivolumab With or Without Ipilimumab in Solid Tumors,CCNE1,BET Bromodomain Inhibitor ZEN-3694,Metastatic Malignant Solid Neoplasm,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT04840589
NCT04275518,A Phase Ib Study of APG-115 Single Agent or in Combination With Azacitidine or Cytarabine in Patients With AML and MDS.,MDM2,"APG-115, Azacitidine, Cytarabine",Acute Myeloid Leukemia (AML),RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT04275518
NCT04835584,KRT-232 and TKI Study in Chronic Myeloid Leukemia,MDM2,"KRT-232, Dasatinib, Nilotinib",Chronic Myeloid Leukemia,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT04835584
NCT06414434,BTX-A51 in Patients With Liposarcoma or CIC-rearranged Sarcoma,MDM2,BTX-A51,Liposarcoma,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06414434
NCT07054190,"A Study to Test Inavolisib Treatments in Participants With Early-Stage, PIK3CA-Mutated Breast Cancer",PIK3CA,"Inavolisib, Ribociclib, Letrozole",Breast Cancer,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07054190
NCT06278870,Disitamab Vedotin + Pyrotinib Versus THP in the First-line Treatment for HER2+ Advanced Breast Cancer Clinical Trial,PIK3CA,"disitamab vedotin, Pyrotinib, trastuzumab, Pertuzumab, taxane drug",HER2-positive Metastatic Breast Cancer,RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT06278870
NCT05810870,PIK3CA/PTEN-altered Advanced Breast Cancer Treated With MEN1611 Monotherapy or in Combination With Eribulin,PIK3CA,"MEN1611, Eribulin",Breast Cancer,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05810870
NCT06805812,Predicting clinicAL outcoMes During First-line CDK4/6 Inhibitors Plus Endocrine Therapy in Patients With Advanced Hormone REceptor-poSitive HER2-negative Breast Cancer: the Retrospective-prospective Multicenter Italian PALMARES-2 Study,PIK3CA,"Palbociclib, Ribociclib, Abemaciclib",Breast Adenocarcinoma,RECRUITING,N/A,https://clinicaltrials.gov/study/NCT06805812
NCT05983107,Chidamide/Everolimus for PIK3CA Wild-type/Mutant HR+/HER2- Advanced Breast Cancer,PIK3CA,"Everolimus, Chidamide, Endocrine therapy, Ovarian function suppression(OFS)",HR+/HER2- Advanced Breast Cancer,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05983107
NCT01785420,Pre Operative Trastuzumab in Operable Breast Cancer,PTEN,"Trastuzumab, Placebo",Carcinoma Breast Stage I,RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT01785420
NCT05810870,PIK3CA/PTEN-altered Advanced Breast Cancer Treated With MEN1611 Monotherapy or in Combination With Eribulin,PTEN,"MEN1611, Eribulin",Breast Cancer,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05810870
NCT04116541,A Study Evaluating the Activity of Anti-cancer Treatments Targeting Tumor Molecular Alterations/Characteristics in Advanced / Metastatic Tumors.,TP53,"HDM201, Ribociclib, Cabozantinib, Alectinib, Regorafenib, Trametinib, Dabrafenib, Avapritinib",Malignant Solid Tumor,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT04116541
NCT06278870,Disitamab Vedotin + Pyrotinib Versus THP in the First-line Treatment for HER2+ Advanced Breast Cancer Clinical Trial,TP53,"disitamab vedotin, Pyrotinib, trastuzumab, Pertuzumab, taxane drug",HER2-positive Metastatic Breast Cancer,RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT06278870
NCT04704323,CAP-100 for Subjects With Relapsed/Refractory Chronic Lymphocytic Leukemia,TP53,CAP-100,"Lymphocytic Leukemia, Chronic",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT04704323
NCT05276726,A Study of JAB-21822 in Advanced or Metastatic NSCLC With KRAS p.G12C and STK11 Co-mutation and Wild-type KEAP1,KRAS,JAB 21822,Non-small Cell Lung Cancer,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT05276726
NCT06065748,"A Study to Evaluate Efficacy and Safety of Giredestrant Compared With Fulvestrant (Plus a CDK4/6 Inhibitor), in Participants With ER-Positive, HER2-Negative Advanced Breast Cancer Resistant to Adjuvant Endocrine Therapy (pionERA Breast Cancer)",KRAS,"Giredestrant, Fulvestrant, Abemaciclib, Palbociclib, Ribociclib, LHRH Agonist","Estrogen Receptor-Positive, HER2-Negative Advanced Breast Cancer",RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT06065748
NCT07094113,AMG 410 Alone and in Combination With Other Agents in Participants With KRAS Altered Advanced or Metastatic Solid Tumors,KRAS,"AMG 410, Pembrolizumab, Panitumumab",KRAS Altered Advanced or Metastatic Solid Tumors,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07094113
NCT06484790,T Cell Receptor Gene-Engineered T Cell Therapy Targeting KRAS Mutations in the Treatment of Subjects With Advanced Solid Tumor,KRAS,"NW-301V, NW-301D","Tumor, Solid",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06484790
NCT05659732,A Study of PEP07 (Checkpoint Kinase 1 Inhibitor) in Patients With Advanced Cancer,CHK1,PEP07,Acute Myeloid Leukemia,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT05659732
NCT05983523,A Study of PEP07 (Checkpoint Kinase 1 Inhibitor) in Patients with Advanced or Metastatic Solid Tumors,CHK1,PEP07,Advanced Solid Tumor,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT05983523
NCT06488378,Phase Ib Study of Axatilimab in Combination With Olaparib in BRCA1/2 and PALB2- Associated Metastatic HER2-negative Breast Cancer,PARP1,"Axatilimab, Olaparib",Breast Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06488378
NCT06931626,Study of NMS-03305293 in Adult Patient With Relapsed Small Cell Lung Cancer,PARP1,"NMS-03305293, Temozolomide",Small Cell Lung Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06931626
NCT06819215,Phase I/II Clinical Study to Evaluate VB15010 Tablets in Patients With Advanced Solid Tumors,PARP1,VB15010,Cancer,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT06819215
NCT06930755,Study of NMS-03305293 in Adult Patients With Relapsed Ovarian Cancer,PARP1,"NMS-03305293, Topotecan",Ovarian Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06930755
NCT07269145,"A Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of TQB3122 Capsules in Subjects With Advanced Malignant Tumors",PARP1,TQB3122 Capsules,Advanced Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07269145
NCT06667141,Phase 1 Study of ACR-2316 in Specific Advanced Solid Tumors,WEE1,ACR-2316,Specific Advanced Solid Tumors,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06667141
NCT05128825,"A Study of Azenosertib (ZN-c3) in Subjects With Platinum-Resistant High-Grade Serous Ovarian, Fallopian Tube or Primary Peritoneal Cancer",WEE1,azenosertib,"High-Grade Serous Ovarian, Fallopian Tube or Primary Peritoneal Cancer",RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05128825
NCT04855656,Study of Lunresertib Alone or in Combination With RP-3500 or Debio 0123 in Patients With Advanced Solid Tumors,WEE1,"Lunresertib, RP-3500, Debio0123",Advanced Solid Tumor,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT04855656
NCT06369155,Azenosertib in Uterine Serous Carcinoma: Biomarker Study,WEE1,Azenosertib,Uterine Serous Carcinoma,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT06369155
NCT06953323,A Phase I/II Study of WJB001 Combination Therapy on Safety and Efficacy for Advanced Solid Tumors,WEE1,"Paclitaxel/Paclitaxel-albumin, Carboplatin/Nedaplatin, Paclitaxel+Carboplatin, Niraparib, Bevacizumab",Advanced Solid Tumor,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT06953323
NCT07371663,An Phase Ib/II Clinical Trial of TCC1727 Combination Therapy in Advanced Solid Tumors,ATR,"TCC1727 tablet 90mg, TCC1727 tablet 120mg, TCC1727 tablet 160mg",Solid Cancers,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT07371663
NCT06518564,Avelumab and M1774 in ARID1A-mutated Endometrial Cancer,ATR,"Avelumab, M1774",Endometrial Cancer,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT06518564
NCT07417761,Tuvusertib in Astrocytoma With ATRX Mutation,ATR,Tuvusertib,Astrocytoma,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07417761
NCT04657068,A Study of ART0380 for the Treatment of Advanced or Metastatic Solid Tumors,ATR,"ART0380, Gemcitabine, Irinotecan",Advanced Cancer,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT04657068
NCT04826341,"A Phase I/II Study of Sacituzumab Govitecan Plus Berzosertib in Small Cell Lung Cancer, Extra-Pulmonary Small Cell Neuroendocrine Cancer and Homologous Recombination-Deficient Cancers Resistant to PARP Inhibitors",ATR,"Berzosertib, Sacituzumab Govitecan",HRD Cancer,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT04826341
NCT04085315,Alisertib in Combination With Osimertinib in Metastatic EGFR-mutant Lung Cancer,AURKA,"Osimertinib, Alisertib",Lung Cancer Metastatic,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT04085315
NCT06257264,A Study to Examine the Safety of Different Doses of BG-68501 Given to Participants With Advanced-Stage Tumors,CDK4,"BG-68501, Fulvestrant, BGB-43395",Breast Cancer,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06257264
NCT06328049,A Study of Trilaciclib Combined With Chemotherapy in the Treatment of NSCLC,CDK4,Trilaciclib Injection,NSCLC,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT06328049
NCT06065748,"A Study to Evaluate Efficacy and Safety of Giredestrant Compared With Fulvestrant (Plus a CDK4/6 Inhibitor), in Participants With ER-Positive, HER2-Negative Advanced Breast Cancer Resistant to Adjuvant Endocrine Therapy (pionERA Breast Cancer)",CDK4,"Giredestrant, Fulvestrant, Abemaciclib, Palbociclib, Ribociclib, LHRH Agonist","Estrogen Receptor-Positive, HER2-Negative Advanced Breast Cancer",RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT06065748
NCT06016738,OP-1250 (Palazestrant) vs. Standard of Care for the Treatment of ER+/HER2- Advanced Breast Cancer,CDK4,"Palazestrant, Fulvestrant, Anastrozole, Letrozole, Exemestane",Breast Cancer,RECRUITING,PHASE3,https://clinicaltrials.gov/study/NCT06016738
NCT05735080,"Open-Label Study to Evaluate the Safety, Tolerability, PK, and Efficacy of INX-315 in Patients With Advanced Cancer",CDK4,"INX-315, Fulvestrant, Abemaciclib",Breast Cancer,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT05735080
NCT04923542,Stereotactic Radiation & Abemaciclib in the Management of HR+/HER2- Breast Cancer Brain Metastases,CDK6,"Abemaciclib, Endocrine therapy",Brain Metastases,RECRUITING,"PHASE1, PHASE2",https://clinicaltrials.gov/study/NCT04923542
NCT04116541,A Study Evaluating the Activity of Anti-cancer Treatments Targeting Tumor Molecular Alterations/Characteristics in Advanced / Metastatic Tumors.,CDK6,"HDM201, Ribociclib, Cabozantinib, Alectinib, Regorafenib, Trametinib, Dabrafenib, Avapritinib",Malignant Solid Tumor,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT04116541
