gene,pathway_id,pathway_name,pmids,source_url
CHK1,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
ATM,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
TP53,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
ATR,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,10984493; 11350971; 15781865; 11971958; 9063748; 11988847; 25712099; 22012619; 24662513; 25429106; 22988298; 23139867; 12771027; 12170774; 20096807; 9858527; 18187580; 26773055,https://reactome.org/content/detail/R-HSA-6796648
CHK1,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
CCNE1,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
MDM2,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
PTEN,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
ATM,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
TP53,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
AURKA,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
ATR,R-HSA-3700989,Transcriptional Regulation by TP53,19410540; 26122615,https://reactome.org/content/detail/R-HSA-3700989
PIK3CA,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,https://reactome.org/content/detail/R-HSA-5637810
KRAS,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,https://reactome.org/content/detail/R-HSA-5637810
EGFR,R-HSA-5637810,Constitutive Signaling by EGFRvIII,,https://reactome.org/content/detail/R-HSA-5637810
PIK3CA,R-HSA-5637812,Signaling by EGFRvIII in Cancer,11087732,https://reactome.org/content/detail/R-HSA-5637812
KRAS,R-HSA-5637812,Signaling by EGFRvIII in Cancer,11087732,https://reactome.org/content/detail/R-HSA-5637812
EGFR,R-HSA-5637812,Signaling by EGFRvIII in Cancer,11087732,https://reactome.org/content/detail/R-HSA-5637812
PIK3CA,R-HSA-9665348,Signaling by ERBB2 ECD mutants,22908275; 23220880,https://reactome.org/content/detail/R-HSA-9665348
