preferredName_A,preferredName_B,score,nscore,escore,dscore,tscore
AURKA,CDK4,0.704,0,0.095,0.0,0.461
AURKA,PTEN,0.711,0,0.099,0.0,0.682
AURKA,CHEK1,0.754,0,0.075,0.0,0.537
AURKA,MYC,0.914,0,0.175,0.0,0.893
AURKA,TP53,0.998,0,0.81,0.75,0.978
KRAS,ATM,0.718,0,0.071,0.0,0.702
KRAS,CDK4,0.743,0,0.195,0.0,0.684
KRAS,MYC,0.872,0,0.075,0.0,0.865
KRAS,PTEN,0.936,0,0.099,0.0,0.93
KRAS,TP53,0.949,0,0.0,0.0,0.947
KRAS,EGFR,0.997,0,0.662,0.9,0.918
KRAS,PIK3CA,0.998,0,0.627,0.9,0.951
CDK4,PIK3CA,0.709,0,0.0,0.0,0.709
CDK4,PARP1,0.756,0,0.0,0.0,0.709
CDK4,PTEN,0.865,0,0.236,0.0,0.824
CDK4,MDM2,0.884,0,0.0,0.0,0.884
CDK4,ATM,0.937,0,0.054,0.8,0.696
CDK4,MYC,0.966,0,0.642,0.0,0.904
CDK4,TP53,0.966,0,0.554,0.0,0.922
CDK4,CDK6,0.999,0,0.72,0.9,0.983
CDK4,CCNE1,0.999,0,0.995,0.8,0.896
MDM2,MYC,0.813,0,0.221,0.0,0.77
MDM2,EGFR,0.897,0,0.0,0.65,0.718
MDM2,PTEN,0.902,0,0.045,0.4,0.838
MDM2,ATM,0.995,0,0.621,0.75,0.955
MDM2,TP53,0.999,0,0.999,0.9,0.999
CCNE1,CHEK1,0.704,0,0.0,0.0,0.643
CCNE1,EGFR,0.752,0,0.092,0.0,0.738
CCNE1,WEE1,0.817,0,0.0,0.4,0.699
CCNE1,MYC,0.908,0,0.185,0.5,0.783
CCNE1,TP53,0.926,0,0.0,0.4,0.882
CCNE1,CDK6,0.999,0,0.995,0.8,0.885
PIK3CA,MYC,0.74,0,0.179,0.0,0.696
PIK3CA,TP53,0.941,0,0.292,0.0,0.92
PIK3CA,PTEN,0.995,0,0.134,0.9,0.949
PIK3CA,EGFR,0.999,0,0.79,0.9,0.976
CDK6,MYC,0.788,0,0.242,0.0,0.716
CDK6,PTEN,0.801,0,0.126,0.0,0.773
CDK6,TP53,0.808,0,0.179,0.0,0.771
CDK6,WEE1,0.828,0,0.314,0.0,0.737
TP53,WEE1,0.753,0,0.0,0.0,0.745
TP53,EGFR,0.943,0,0.329,0.0,0.919
TP53,PARP1,0.972,0,0.794,0.0,0.87
TP53,ATR,0.996,0,0.838,0.9,0.781
TP53,CHEK1,0.997,0,0.783,0.9,0.906
TP53,MYC,0.997,0,0.3,0.0,0.997
TP53,ATM,0.999,0,0.928,0.9,0.975
TP53,PTEN,0.999,0,0.748,0.9,0.968
EGFR,PARP1,0.751,0,0.1,0.0,0.734
EGFR,MYC,0.875,0,0.103,0.0,0.866
EGFR,PTEN,0.969,0,0.608,0.0,0.925
ATM,WEE1,0.766,0,0.0,0.0,0.766
ATM,MYC,0.871,0,0.129,0.0,0.855
ATM,PARP1,0.875,0,0.292,0.0,0.828
ATM,PTEN,0.897,0,0.0,0.0,0.892
ATM,CHEK1,0.998,0,0.449,0.9,0.974
ATM,ATR,0.999,0,0.974,0.9,0.745
ATR,WEE1,0.749,0,0.213,0.0,0.695
ATR,CHEK1,0.999,0,0.974,0.9,0.947
PARP1,PTEN,0.726,0,0.0,0.0,0.712
PARP1,MYC,0.762,0,0.174,0.0,0.717
PARP1,CHEK1,0.858,0,0.33,0.0,0.781
PTEN,CHEK1,0.791,0,0.165,0.0,0.76
PTEN,MYC,0.908,0,0.317,0.0,0.87
CHEK1,MYC,0.76,0,0.0,0.0,0.749
CHEK1,WEE1,0.992,0,0.388,0.9,0.86
