n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score,is_lethal
TMEM35A,59353,PTEN,5728,,26427375,Computational Prediction,0.3,True
SMURF2,64750,TP53,7157,,23728082,Computational Prediction,0.3,True
PSMA4,5685,KRAS,3845,COAD,19490893,Text Mining,0.6,True
CUX1,1523,PARP1,142,pancreatic cancer_D010190,20442202,Text Mining,0.56,True
CUX1,1523,PIK3CA,5290,pancreatic cancer_D010190,20442202,Text Mining,0.1775,True
CUX1,1523,KRAS,3845,DLD-1,19490893,GenomeRNAi,0.458,True
KRAS,3845,UBQLN2,29978,DLD-1,19490893,GenomeRNAi,0.515,True
KRAS,3845,RPL22L1,200916,,28700943,High Throughput,0.5,True
KRAS,3845,RPL17,6139,COAD,24104479,Text Mining,0.6,True
KRAS,3845,POLD3,10714,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,GEM,2669,COAD,24104479,Text Mining,0.6,True
KRAS,3845,OR1F1,4992,DLD-1,19490893,GenomeRNAi,0.449,True
KRAS,3845,RPIA,22934,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,KDSR,2531,,28700943,High Throughput,0.5,True
KRAS,3845,MTOR,2475,DLD-1,19490893,GenomeRNAi,0.461,True
KRAS,3845,WDR83,84292,,27655641,RNAi Screen,0.75,True
KRAS,3845,AKT2,208,,27655641,RNAi Screen,0.75,True
KRAS,3845,SIAH2,6478,COAD,24104479,Text Mining,0.6,True
KRAS,3845,IMP3,55272,,28700943,High Throughput,0.5,True
KRAS,3845,MCM6,4175,DLD-1,19490893,GenomeRNAi,0.446,True
KRAS,3845,SKP1,6500,DLD-1,19490893,GenomeRNAi,0.461,True
KRAS,3845,FAM160A2,84067,,27655641,RNAi Screen,0.75,True
KRAS,3845,DOCK4,9732,,27655641,RNAi Screen,0.75,True
KRAS,3845,LMAN1L,79748,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,RPL11,6135,COAD,24104479,Text Mining,0.6,True
KRAS,3845,MMP23B,8510,COAD,24104479,Text Mining,0.6,True
KRAS,3845,HIPK1,204851,,27655641,RNAi Screen,0.75,True
KRAS,3845,STK39,27347,,27655641,RNAi Screen,0.75,True
KRAS,3845,RPL4,6124,COAD,24104479,Text Mining,0.6,True
KRAS,3845,SRSF8,10929,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,MFN1,55669,COAD,24104479,Text Mining,0.6,True
KRAS,3845,MRC2,9902,,28700943,High Throughput,0.5,True
KRAS,3845,IPMK,253430,,27655641,RNAi Screen,0.75,True
KRAS,3845,EEF1A2,1917,COAD,24104479,Text Mining,0.6,True
KRAS,3845,RPL12,6136,COAD,24104479,Text Mining,0.6,True
KRAS,3845,RANBP1,5902,,28700943,High Throughput,0.5,True
KRAS,3845,TNPO1,3842,,28700943,High Throughput,0.5,True
KRAS,3845,GCN1,10985,COAD,24104479,Text Mining,0.6,True
KRAS,3845,UFSP1,402682,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,SMC6,79677,,28700943,High Throughput,0.5,True
KRAS,3845,ACADSB,36,,28700943,High Throughput,0.5,True
KRAS,3845,SUB1,10923,COAD,24104479,Text Mining,0.6,True
KRAS,3845,PFDN6,10471,COAD,24104479,Text Mining,0.6,True
KRAS,3845,PHLDB2,90102,,28700943,High Throughput,0.5,True
KRAS,3845,SF3B2,10992,COAD,24104479,Text Mining,0.6,True
KRAS,3845,C4orf54,285556,,27655641,RNAi Screen,0.75,True
KRAS,3845,TP53,7157,cancer_D009369,19075675;24893124;21142664;21737609;20976469,Text Mining,0.56,True
KRAS,3845,UTP15,84135,COAD,24104479,Text Mining,0.6,True
KRAS,3845,PANK3,79646,,27655641,RNAi Screen,0.75,True
KRAS,3845,ACP4,93650,,27655641,RNAi Screen,0.75,True
KRAS,3845,ATP5F1C,509,,28700943,High Throughput,0.5,True
KRAS,3845,EIF5,1983,COAD,24104479,Text Mining,0.6,True
KRAS,3845,HINFP,25988,,28700943,High Throughput,0.5,True
KRAS,3845,SNAPC4,6621,COAD,24104479,Text Mining,0.6,True
KRAS,3845,TTPAL,79183,,27655641,RNAi Screen,0.75,True
KRAS,3845,GSDMC,56169,,27655641,RNAi Screen,0.75,True
KRAS,3845,THOC7,80145,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,UXS1,80146,COAD,24104479,Text Mining,0.6,True
KRAS,3845,DARS2,55157,,28700943,High Throughput,0.5,True
KRAS,3845,TEAD4,7004,COAD,24104479,Text Mining,0.6,True
KRAS,3845,MASTL,84930,DLD-1,19490893,GenomeRNAi,0.503,True
KRAS,3845,SULT1A2,6799,DLD-1,19490893,GenomeRNAi,0.446,True
KRAS,3845,GRM5,2915,COAD,24104479,Text Mining,0.6,True
KRAS,3845,FXN,2395,,27655641,RNAi Screen,0.75,True
KRAS,3845,RBM14-RBM4,100526737,,28700943,High Throughput,0.5,True
KRAS,3845,SUGP1,57794,DLD-1,19490893,GenomeRNAi,0.467,True
KRAS,3845,MOS,4342,DLD-1,19490893,GenomeRNAi,0.446,True
KRAS,3845,NUP160,23279,DLD-1,19490893,GenomeRNAi,0.488,True
KRAS,3845,SYTL2,54843,,27655641,RNAi Screen,0.75,True
KRAS,3845,METRNL,284207,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,NLK,51701,,27655641,RNAi Screen,0.75,True
KRAS,3845,MRPL37,51253,,28700943,High Throughput,0.5,True
KRAS,3845,SMURF2,64750,DLD-1,19490893,GenomeRNAi,0.455,True
KRAS,3845,TAF3,83860,,28700943,High Throughput,0.5,True
KRAS,3845,GGA3,23163,,28700943,High Throughput,0.5,True
KRAS,3845,AFDN,4301,BRCA,25407795,Text Mining,0.4,True
KRAS,3845,HGF,3082,,28700943,High Throughput,0.5,True
KRAS,3845,YY1,7528,COAD,24104479,Text Mining,0.6,True
KRAS,3845,OSBPL3,26031,COAD,24104479,Text Mining,0.6,True
KRAS,3845,ISG20,3669,COAD,24104479,Text Mining,0.6,True
KRAS,3845,GLIS2,84662,COAD,24104479,Text Mining,0.6,True
KRAS,3845,ORC2,4999,,28700943,High Throughput,0.5,True
KRAS,3845,TTC27,55622,COAD,24104479,Text Mining,0.6,True
KRAS,3845,RECQL4,9401,BRCA,25407795,Text Mining,0.4,True
KRAS,3845,MYCL,4610,COAD,24104479,Text Mining,0.6,True
KRAS,3845,DLGAP5,9787,COAD,24104479,Text Mining,0.6,True
KRAS,3845,SLC23A2,9962,COAD,24104479,Text Mining,0.6,True
KRAS,3845,USP39,10713,"Human non-small cell lung-cancer, Lung Adenocarcin;DLD-1",19490893,Synlethality;GenomeRNAi,0.815,True
KRAS,3845,RPGRIP1,57096,,27655641,RNAi Screen,0.75,True
KRAS,3845,MSI2,124540,BRCA,25407795,Text Mining,0.4,True
KRAS,3845,ZCCHC9,84240,,28700943,High Throughput,0.5,True
KRAS,3845,NR1H2,7376,DLD-1,19490893,GenomeRNAi,0.446,True
KRAS,3845,OXR1,55074,,28700943,High Throughput,0.5,True
KRAS,3845,ETV4,2118,COAD,24104479,Text Mining,0.6,True
KRAS,3845,CEP57,9702,,28700943,High Throughput,0.5,True
KRAS,3845,TSSK6,83983,,27655641,RNAi Screen,0.75,True
KRAS,3845,PTMA,5757,,28700943,High Throughput,0.5,True
KRAS,3845,ZNF620,253639,COAD,24104479,Text Mining,0.6,True
KRAS,3845,RGS5,8490,DLD-1,19490893,GenomeRNAi,0.482,True
KRAS,3845,RUVBL2,10856,COAD,24104479,Text Mining,0.6,True
KRAS,3845,RLF,6018,,27655641,RNAi Screen,0.75,True
KRAS,3845,ZNHIT3,9326,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,KBTBD4,55709,COAD,24104479,Text Mining,0.6,True
KRAS,3845,LTN1,26046,,28700943,High Throughput,0.5,True
KRAS,3845,LMLN,89782,COAD,24104479,Text Mining,0.6,True
KRAS,3845,CAPG,822,COAD,24104479,Text Mining,0.6,True
KRAS,3845,PGAM1,5223,COAD,24104479,Text Mining,0.6,True
KRAS,3845,ZNF32,7580,DLD-1,19490893,GenomeRNAi,0.446,True
KRAS,3845,ZDHHC6,64429,COAD,24104479,Text Mining,0.6,True
KRAS,3845,CSNK2B,1460,,28700943,High Throughput,0.5,True
KRAS,3845,SAMM50,25813,COAD,24104479,Text Mining,0.6,True
KRAS,3845,ATP1A3,478,COAD,24104479,Text Mining,0.6,True
KRAS,3845,SNUPN,10073,DLD-1,19490893,GenomeRNAi,0.473,True
KRAS,3845,RBKS,64080,,27655641,RNAi Screen,0.75,True
KRAS,3845,GRIN2C,2905,COAD,24104479,Text Mining,0.6,True
KRAS,3845,ULK2,9706,,27655641,RNAi Screen,0.75,True
KRAS,3845,LARS1,51520,,28700943,High Throughput,0.5,True
KRAS,3845,MAT1A,4143,,28700943,High Throughput,0.5,True
KRAS,3845,TBC1D3C,414060,,28700943,High Throughput,0.5,True
KRAS,3845,SH2D3A,10045,,27655641,RNAi Screen,0.75,True
KRAS,3845,NAGA,4668,COAD,24104479,Text Mining,0.6,True
KRAS,3845,LATS1,9113,,27655641,RNAi Screen,0.75,True
KRAS,3845,RPS19,6223,COAD,24104479,Text Mining,0.6,True
KRAS,3845,UHMK1,127933,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,STK32A,202374,COAD,24104479,Text Mining,0.6,True
KRAS,3845,NGLY1,55768,DLD-1,19490893,GenomeRNAi,0.455,True
KRAS,3845,SPINK2,6691,DLD-1,19490893,GenomeRNAi,0.473,True
KRAS,3845,UBE2U,148581,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,YES1,7525,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,ZNF117,51351,COAD,24104479,Text Mining,0.6,True
KRAS,3845,GMEB1,10691,COAD,24104479,Text Mining,0.6,True
KRAS,3845,SH2D2A,9047,COAD,24104479,Text Mining,0.6,True
KRAS,3845,NOL6,65083,DLD-1,19490893,GenomeRNAi,0.503,True
KRAS,3845,TEX10,54881,,28700943,High Throughput,0.5,True
KRAS,3845,HTRA3,94031,,28700943,High Throughput,0.5,True
KRAS,3845,MAPKAP1,79109,,27655641,RNAi Screen,0.75,True
KRAS,3845,USP50,373509,,28700943,High Throughput,0.5,True
KRAS,3845,PRSS21,10942,COAD,24104479,Text Mining,0.6,True
KRAS,3845,MAML2,84441,BRCA,25407795,Text Mining,0.4,True
KRAS,3845,LONRF3,79836,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,DHFR,1719,,28700943,High Throughput,0.5,True
KRAS,3845,BRAF,673,,27655641,RNAi Screen,0.75,True
KRAS,3845,RTL10,79680,COAD,24104479,Text Mining,0.6,True
KRAS,3845,SERPINB9,5272,COAD,24104479,Text Mining,0.6,True
KRAS,3845,SURF6,6838,,28700943,High Throughput,0.5,True
KRAS,3845,CDK17,5128,COAD,24104479,Text Mining,0.6,True
KRAS,3845,TFIP11,24144,COAD,24104479,Text Mining,0.6,True
KRAS,3845,RPS18,6222,,28700943,High Throughput,0.5,True
KRAS,3845,RBFOX1,54715,,28700943,High Throughput,0.5,True
KRAS,3845,TRIM21,6737,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,FBXO5,26271,,28700943,High Throughput,0.5,True
KRAS,3845,AXL,558,,27655641,RNAi Screen,0.75,True
KRAS,3845,IMP4,92856,,28700943,High Throughput,0.5,True
KRAS,3845,NCOR1,9611,DLD-1,19490893,GenomeRNAi,0.449,True
KRAS,3845,ALOX15B,247,COAD,24104479,Text Mining,0.6,True
KRAS,3845,VDAC1,7416,Human lung cancer,17568748,Synlethality,0.855,True
KRAS,3845,PYM1,84305,DLD-1,19490893,GenomeRNAi,0.449,True
KRAS,3845,ZNF74,7625,DLD-1,19490893,GenomeRNAi,0.458,True
KRAS,3845,MARS1,4141,,28700943,High Throughput,0.5,True
KRAS,3845,MAPKAPK5,8550,,27655641,RNAi Screen,0.75,True
KRAS,3845,ZNF83,55769,COAD,24104479,Text Mining,0.6,True
KRAS,3845,MECR,51102,,28700943,High Throughput,0.5,True
KRAS,3845,SCARF1,8578,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,NME7,29922,,27655641,RNAi Screen,0.75,True
KRAS,3845,RAB29,8934,DLD-1,19490893,GenomeRNAi,0.443,True
KRAS,3845,SPC24,147841,DLD-1,19490893,GenomeRNAi,0.491,True
KRAS,3845,H3-3B,3021,COAD,24104479,Text Mining,0.6,True
KRAS,3845,ME1,4199,COAD,24104479,Text Mining,0.6,True
KRAS,3845,NR1I3,9970,,27655641,RNAi Screen,0.75,True
KRAS,3845,NRXN3,9369,,28700943,High Throughput,0.5,True
KRAS,3845,MICAL1,64780,DLD-1,19490893,GenomeRNAi,0.44,True
KRAS,3845,CAMK2G,818,,27655641,RNAi Screen,0.75,True
KRAS,3845,RAD54L2,23132,DLD-1,19490893,GenomeRNAi,0.449,True
KRAS,3845,CFLAR,8837,COAD,24104479,Text Mining,0.6,True
KRAS,3845,NUAK2,81788,,27655641,RNAi Screen,0.75,True
KRAS,3845,DDX27,55661,,28700943,High Throughput,0.5,True
KRAS,3845,YME1L1,10730,DLD-1,19490893,GenomeRNAi,0.464,True
KRAS,3845,TXNRD2,10587,,28700943,High Throughput,0.5,True
KRAS,3845,PRDM4,11108,DLD-1,19490893,GenomeRNAi,0.464,True
KRAS,3845,COPS8,10920,,27655641,RNAi Screen,0.75,True
KRAS,3845,MKNK2,2872,,27655641,RNAi Screen,0.75,True
KRAS,3845,RRP36,88745,,28700943,High Throughput,0.5,True
KRAS,3845,ITFG1,81533,COAD,24104479,Text Mining,0.6,True
KRAS,3845,EXOSC10,5394,COAD,24104479,Text Mining,0.6,True
KRAS,3845,TMEM30B,161291,DLD-1,19490893,GenomeRNAi,0.452,True
KRAS,3845,PPP4C,5531,,28700943,High Throughput,0.5,True
KRAS,3845,RTF1,23168,COAD,24104479,Text Mining,0.6,True
KRAS,3845,AKT3,10000,,27655641,RNAi Screen,0.75,True
KRAS,3845,C4orf46,201725,DLD-1,19490893,GenomeRNAi,0.458,True
KRAS,3845,TAF1,6872,COAD,24104479,Text Mining,0.6,True
KRAS,3845,STK25,10494,,27655641,RNAi Screen,0.75,True
KRAS,3845,WNT9A,7483,DLD-1,19490893,GenomeRNAi,0.449,True
KRAS,3845,ATP6V0C,527,,28700943,High Throughput,0.5,True
KRAS,3845,PCID2,55795,DLD-1,19490893,GenomeRNAi,0.452,True
KRAS,3845,MAPRE1,22919,COAD,24104479,Text Mining,0.6,True
KRAS,3845,TBC1D1,23216,DLD-1,19490893,GenomeRNAi,0.452,True
KRAS,3845,SPNS2,124976,,28700943,High Throughput,0.5,True
